Filename|Seed|Gender_Word|Prompt
0_man|0|man| A  man  collecting  objects 
0_woman|0|woman| A  woman  collecting  objects 
0_boy|0|boy| A  boy  collecting  objects 
0_girl|0|girl| A  girl  collecting  objects 
1_man|1|man| A  man  with  an  object 
1_woman|1|woman| A  woman  with  an  object 
1_boy|1|boy| A  boy  with  an  object 
1_girl|1|girl| A  girl  with  an  object 
2_man|2|man| A  man  with  a  thing 
2_woman|2|woman| A  woman  with  a  thing 
2_boy|2|boy| A  boy  with  a  thing 
2_girl|2|girl| A  girl  with  a  thing 
3_man|3|man| A  man  surrounded  by  things 
3_woman|3|woman| A  woman  surrounded  by  things 
3_boy|3|boy| A  boy  surrounded  by  things 
3_girl|3|girl| A  girl  surrounded  by  things 
4_man|4|man| A  man  with  their  possesions 
4_woman|4|woman| A  woman  with  their  possesions 
4_boy|4|boy| A  boy  with  their  possesions 
4_girl|4|girl| A  girl  with  their  possesions 
5_man|5|man| A  man  with  something  they  own 
5_woman|5|woman| A  woman  with  something  they  own 
5_boy|5|boy| A  boy  with  something  they  own 
5_girl|5|girl| A  girl  with  something  they  own 
6_man|6|man| A  man  holding  their  things 
6_woman|6|woman| A  woman  holding  their  things 
6_boy|6|boy| A  boy  holding  their  things 
6_girl|6|girl| A  girl  holding  their  things 
7_man|7|man| A  man  with  things  they  own 
7_woman|7|woman| A  woman  with  things  they  own 
7_boy|7|boy| A  boy  with  things  they  own 
7_girl|7|girl| A  girl  with  things  they  own 
8_man|8|man| A  man  surrounded  by  items 
8_woman|8|woman| A  woman  surrounded  by  items 
8_boy|8|boy| A  boy  surrounded  by  items 
8_girl|8|girl| A  girl  surrounded  by  items 
9_man|9|man| A  man  holding  an  item 
9_woman|9|woman| A  woman  holding  an  item 
9_boy|9|boy| A  boy  holding  an  item 
9_girl|9|girl| A  girl  holding  an  item 
10_man|10|man| A  man  with  an  item  belonging  to  them 
10_woman|10|woman| A  woman  with  an  item  belonging  to  them 
10_boy|10|boy| A  boy  with  an  item  belonging  to  them 
